text,target
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,1
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Just witnessed a massive earthquake. Everything is shaking! #earthquake,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",0
Heavy snowfall in the mountainous region. Roads are icy and dangerous. #Snowstorm,0
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
The concert got canceled? This is the worst disaster ever! 🎤😭 #Sarcasm,1
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
Help! The fire is spreading quickly in the forest near Main Street. Urgent assistance needed! 🔥🌲,0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
"Oh no, my sandwich just fell apart! What a disaster! 🥪😱 #LunchFail",0
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"Major flooding reported in the downtown area. Evacuation underway. Stay safe, everyone!",0
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,0
"False alarm, folks. The disaster was just a loud construction site next door. Sorry for the confusion!",1
"Sarcasm alert: Just lost my pen. World-ending crisis, obviously. 🖊️😂",0
Tornado warning issued for the southern region. Seek shelter immediately. #TornadoAlert,1
Beautiful day for a picnic by the river! 🌳☀️ #NotADisaster,1
Just witnessed a massive earthquake. Everything is shaking! #earthquake,0
